,County,Cases,Deaths
1,Allegany,276,18
2,Anne_Arundel,7071,209
3,Baltimore,12525,531
4,Baltimore_City,11844,402
5,Calvert,649,27
6,Caroline,439,3
7,Carroll,1503,115
8,Cecil,662,29
9,Charles,1932,89
10,Dorchester,352,5
11,Frederick,3016,114
12,Garrett,44,0
13,Harford,1863,65
14,Howard,3690,100
15,Kent,235,22
16,Montgomery,17910,755
17,Prince_Georges,23082,721
18,Queen_Annes,399,24
19,Somerset,129,3
20,St_Marys,931,52
21,Talbot,368,4
22,Washington,986,30
23,Wicomico,1309,44
24,Worcester,639,18
25,Unknown,0,16
